"municipio","provincia","ccaa","var_pob_2014_2023","num_infra_nuevas"
"Laluenga","Huesca","Aragón","-6.481481481481480","0"
"Casillas","Ávila","Castilla y León","-8.044382801664360","0"
"Valdepiélagos","Madrid","Comunidad de Madrid","10.657193605683799","0"
"Ronda","Málaga","Andalucía","-7.951281484754750","0"
"Cártama","Málaga","Andalucía","16.787241039131896","0"
"Foz-Calanda","Teruel","Aragón","3.717472118959110","0"
"Monasterio de Vega","Valladolid","Castilla y León","-13.829787234042602","0"
"Vadillo de la Guareña","Zamora","Castilla y León","-10.563380281690099","0"
"Villafranca de Córdoba","Córdoba","Andalucía","-0.551808706315144","0"
"Voto","Cantabria","Cantabria","7.124681933842240","0"
"Ortigosa de Cameros","La Rioja","La Rioja","-15.909090909090901","0"
"San Cebrián de Mazote","Valladolid","Castilla y León","-38.709677419354804","0"
"La Cueva de Roa","Burgos","Castilla y León","-6.862745098039221","0"
"Herguijuela","Cáceres","Extremadura","-23.121387283236999","0"
"Gistaín","Huesca","Aragón","-14.685314685314699","0"
"Manchones","Zaragoza","Aragón","-14.655172413793100","0"
"Valjunquera","Teruel","Aragón","-9.315068493150680","0"
"Benizalón","Almería","Andalucía","-10.563380281690099","0"
"Ullastrell","Barcelona","Cataluña-Catalunya","5.155642023346300","0"
"Valdearcos de la Vega","Valladolid","Castilla y León","-25.263157894736800","0"
"Solivella","Tarragona","Cataluña-Catalunya","-3.675344563552830","0"
"Vilopriu","Girona","Cataluña-Catalunya","-4.306220095693780","0"
"Wamba","Valladolid","Castilla y León","-12.427745664739900","0"
"Navacarros","Salamanca","Castilla y León","5.600000000000000","0"
"Navarredonda de la Rinconada","Salamanca","Castilla y León","-19.587628865979401","0"
"Anaya","Segovia","Castilla y León","1.694915254237290","0"
"Zarzosa de Río Pisuerga","Burgos","Castilla y León","0.000000000000000","0"
"Bordalba","Zaragoza","Aragón","-23.437500000000000","0"
"Alhendín","Granada","Andalucía","22.995424993980297","0"
"Miralrío","Guadalajara","Castilla-La Mancha","-17.647058823529399","0"
"Samper del Salz","Zaragoza","Aragón","-13.207547169811299","0"
"Vallanca","València-Valencia","Comunitat Valenciana","-7.692307692307691","0"
"Piles","València-Valencia","Comunitat Valenciana","12.217697149204000","0"
"Gascueña","Cuenca","Castilla-La Mancha","-20.000000000000000","0"
"Gallifa","Barcelona","Cataluña-Catalunya","-9.405940594059411","0"
"Fuente Vaqueros","Granada","Andalucía","2.567537396740340","0"
"Paradas","Sevilla","Andalucía","-3.751946764830810","0"
"Ayora","València-Valencia","Comunitat Valenciana","-2.537786900541150","0"
"Bassella","Lleida","Cataluña-Catalunya","-9.426229508196720","0"
